,Import Capacity (MW)
AL00-GR00,400.0
AL00-ME00,350.0
AL00-ME00 Concept 1,500.0
AL00-ME00 Concept 3,500.0
AL00-MK00,500.0
AL00-RS00,500.0
AL00-RS00 Concept 1,500.0
AT00-AT00EV2W,5625.70508577
AT00-AT00RETE,100000.0
AT00-CH00,1200.0
AT00-CZ00,900.0
AT00-CZ00 Concept 1,500.0
AT00-DE00,5400.0
AT00-DE00 Real 1,1500.0
AT00-DE00 Real 2,600.0
AT00-DE00 Real 3,1000.0
AT00H2MT-HU00H2MT (1) Expansion,1100.40625
AT00H2MT-SI00H2MT (1) Expansion,1757.8125
AT00H2MT-SK00H2MT (1) Expansion,7086.875
AT00-HU00,800.0
AT00-HU00 Concept 1,1000.0
AT00-IT00,650.0
AT00-IT00 Real 1,500.0
AT00-IT00 Real 2,150.0
AT00RETE-AT00EV2W,524.39465715
AT00-SI00,950.0
AT00-SI00 Real 1,500.0
BA00-HR00,700.0
BA00-ME00,750.0
BA00-ME00 Concept 1,500.0
BA00-RS00,510.0
BA00-RS00 Real 2,490.0
BE00-BE00EV2W,6397.61634904
BE00-BE00RETE,100000.0
BE00-DE00,1000.0
BE00-FR00,4300.0
BE00-FR00 Concept 1,1000.0
BE00H2MT-DE00H2MT (1) Expansion,814.21875
BE00H2MT-FR00H2MT (1) Expansion,22968.75
BE00H2MT-NL00H2MT (1) Expansion,8468.75
BE00H2MT-UK00H2MT (1) Expansion,15063.75
BE00-LUG1,180.0
BE00-NL00,3400.0
BE00-NL00 Real 1,1000.0
BE00RETE-BE00EV2W,553.59194428
BE00-UK00,1000.0
BG00-BG00EV2W,4450.84725145
BG00-BG00RETE,100000.0
BG00-GR00,1400.0
BG00H2MT-GR00H2MT (1) Expansion,3830.625
BG00H2MT-RO00H2MT (1) Expansion,11419.5
BG00-MK00,400.0
BG00RETE-BG00EV2W,180.50464118
BG00-RO00,1400.0
BG00-RS00,270.0
BG00-RS00 Real 1,270.0
BG00-TR00,500.0
BG00-TR00 Concept 1,500.0
BG00-TR00 Concept 2,500.0
BG00-TR00 Real 1,700.0
BG00-TR00 Virtual 1,500.0
BG00-TR00 Virtual 2,500.0
CH00-DE00,3000.0
CH00-DE00 Real 1,250.0
CH00-FR00,3700.0
CH00-FR00 Concept 1,1000.0
CH00H2MT-DE00H2MT (1) Expansion,7242.905688
CH00H2MT-FR00H2MT (1) Expansion,3125.0
CH00H2MT-IT00H2MT (1) Expansion,10325.25
CH00-IT00,1700.0
CY00-GR03 Real 1,1000.0
CZ00-CZ00EV2W,5327.66044903
CZ00-CZ00RETE,100000.0
CZ00-DE00,1500.0
CZ00H2MT-DE00H2MT (1) Expansion,38425.0030362
CZ00H2MT-SK00H2MT (1) Expansion,30777.90625
CZ00-PL00 Concept 1,500.0
CZ00-PL00 Concept 2,500.0
CZ00RETE-CZ00EV2W,363.3629362
CZ00-SK00,1100.0
CZ00-SK00 Real 1,500.0
DE00-CH00 Real 2,100.0
DE00-DE00EV2W,37869.63560202
DE00-DE00RETE,100000.0
DE00-DEKF,400.0
DE00-DKE1,585.0
DE00-DKE1 Real 1,600.0
DE00-DKW1,3500.0
DE00-FR00,3300.0
DE00H2MT-DKE1H2MT (1) Expansion,3865.625
DE00H2MT-DKE1H2MT (2) Expansion,1288.541667
DE00H2MT-FR00H2MT (1) Expansion,19375.0
DE00H2MT-NL00H2MT (1) Expansion,14624.25
DE00-LUG1,1000.0
DE00-LUV1,1300.0
DE00-NL00,5000.0
DE00-NL00 Real 1,1000.0
DE00-NOS0,1400.0
DE00-PL00 Concept 1,500.0
DE00-PL00 Concept 2,500.0
DE00-PL00 Concept 3,500.0
DE00RETE-DE00EV2W,3806.16932361
DE00-SE04,615.0
DE00-SE04 Real 1,700.0
DE00-SE04 Real 2,700.0
DEKF-DKKF,400.0
DKE1-DKE1EV2W,3078.82834309
DKE1-DKE1RETE,100000.0
DKE1-DKKF,600.0
DKE1-DKW1,590.0
DKE1H2MT-DKW1H2MT,100000.0
DKE1H2MT-PL00H2MT (1) Expansion,9587.5
DKE1H2MT-PL00H2MT (2) Expansion,2077.29166645
DKE1H2MT-SE04H2MT (1) Expansion,2743.75
DKE1H2MT-SE04H2MT (2) Expansion,914.5833333
DKE1-PL00 Real 1,600.0
DKE1RETE-DKE1EV2W,136.27279204
DKE1-SE04,1300.0
DKE1-SE04 Concept 1,500.0
DKE1-SE04 Concept 2,1000.0
DKW1-DKW1EV2W,3746.11812427
DKW1-DKW1RETE,100000.0
DKW1-NL00,700.0
DKW1-NOS0,1640.0
DKW1RETE-DKW1EV2W,224.94150405
